OffDate,OffTime,OnDate,OnTime,marker,Comment
17-Jan-12,11:03 AM,17-Jan-12,01:45 PM,z,
17-Jan-12,01:53 PM,17-Jan-12,02:33 PM,z,
17-Jan-12,09:09 PM,17-Jan-12,09:45 PM,z,
17-Jan-12,11:03 PM,18-Jan-12,06:37 AM,z,
18-Jan-12,06:57 AM,18-Jan-12,07:13 AM,z,
18-Jan-12,08:23 AM,18-Jan-12,08:47 AM,z,
18-Jan-12,10:35 AM,18-Jan-12,10:51 AM,z,
18-Jan-12,12:45 PM,18-Jan-12,02:29 PM,z,
18-Jan-12,03:57 PM,18-Jan-12,04:15 PM,z,
18-Jan-12,07:25 PM,18-Jan-12,07:45 PM,z,
18-Jan-12,10:11 PM,18-Jan-12,10:25 PM,z,
18-Jan-12,10:35 PM,18-Jan-12,10:53 PM,z,
18-Jan-12,11:01 PM,18-Jan-12,11:23 PM,z,
18-Jan-12,11:29 PM,19-Jan-12,06:33 AM,z,
19-Jan-12,06:55 AM,19-Jan-12,07:07 AM,z,
19-Jan-12,10:11 AM,19-Jan-12,10:23 AM,z,
19-Jan-12,10:29 AM,19-Jan-12,11:01 AM,z,
19-Jan-12,11:21 AM,19-Jan-12,11:43 AM,z,
19-Jan-12,01:29 PM,19-Jan-12,01:45 PM,z,
19-Jan-12,03:25 PM,19-Jan-12,05:05 PM,z,
19-Jan-12,06:47 PM,19-Jan-12,07:07 PM,z,
19-Jan-12,08:57 PM,19-Jan-12,09:15 PM,z,
19-Jan-12,09:41 PM,19-Jan-12,09:53 PM,z,
19-Jan-12,11:01 PM,20-Jan-12,06:41 AM,z,
20-Jan-12,07:05 AM,20-Jan-12,07:21 AM,z,
20-Jan-12,10:39 AM,20-Jan-12,10:53 AM,z,
20-Jan-12,01:07 PM,20-Jan-12,03:11 PM,z,
20-Jan-12,04:17 PM,20-Jan-12,04:41 PM,z,
20-Jan-12,05:47 PM,20-Jan-12,06:07 PM,z,
20-Jan-12,10:21 PM,20-Jan-12,10:39 PM,z,
20-Jan-12,10:43 PM,21-Jan-12,12:17 AM,z,
21-Jan-12,12:21 AM,21-Jan-12,04:07 AM,z,
21-Jan-12,04:13 AM,21-Jan-12,06:29 AM,z,
21-Jan-12,11:01 AM,21-Jan-12,12:19 PM,z,
21-Jan-12,05:45 PM,21-Jan-12,05:57 PM,z,
21-Jan-12,08:01 PM,21-Jan-12,08:17 PM,z,
21-Jan-12,11:19 PM,22-Jan-12,12:39 AM,z,
22-Jan-12,12:51 AM,22-Jan-12,03:41 AM,z,
22-Jan-12,03:47 AM,22-Jan-12,05:23 AM,z,
22-Jan-12,05:29 AM,22-Jan-12,08:25 AM,z,
22-Jan-12,09:51 PM,22-Jan-12,10:05 PM,z,
22-Jan-12,10:37 PM,23-Jan-12,03:01 AM,z,
23-Jan-12,03:07 AM,23-Jan-12,06:37 AM,z,
23-Jan-12,06:47 AM,23-Jan-12,07:49 AM,z,
23-Jan-12,08:27 AM,23-Jan-12,08:39 AM,z,
23-Jan-12,12:39 PM,23-Jan-12,12:57 PM,z,
23-Jan-12,02:37 PM,23-Jan-12,03:43 PM,z,
23-Jan-12,04:13 PM,23-Jan-12,04:43 PM,z,
23-Jan-12,04:47 PM,23-Jan-12,05:21 PM,z,
23-Jan-12,06:03 PM,23-Jan-12,06:25 PM,z,
23-Jan-12,06:47 PM,23-Jan-12,06:59 PM,z,
23-Jan-12,07:05 PM,23-Jan-12,08:09 PM,z,
23-Jan-12,09:13 PM,23-Jan-12,09:35 PM,z,
23-Jan-12,10:15 PM,23-Jan-12,10:27 PM,z,
23-Jan-12,10:35 PM,24-Jan-12,01:27 AM,z,
24-Jan-12,01:31 AM,24-Jan-12,06:23 AM,z,
24-Jan-12,06:27 AM,24-Jan-12,09:43 AM,z,
24-Jan-12,10:21 AM,24-Jan-12,10:41 AM,z,
24-Jan-12,10:47 AM,24-Jan-12,11:31 AM,z,
24-Jan-12,11:37 AM,24-Jan-12,12:23 PM,z,
24-Jan-12,12:43 PM,24-Jan-12,02:23 PM,z,
24-Jan-12,02:29 PM,24-Jan-12,04:31 PM,z,
24-Jan-12,04:41 PM,24-Jan-12,04:53 PM,z,
24-Jan-12,05:37 PM,24-Jan-12,06:07 PM,z,
24-Jan-12,08:25 PM,24-Jan-12,08:37 PM,z,
24-Jan-12,08:41 PM,24-Jan-12,09:25 PM,z,
24-Jan-12,10:07 PM,24-Jan-12,10:27 PM,z,
24-Jan-12,11:33 PM,25-Jan-12,01:03 AM,z,
25-Jan-12,01:09 AM,25-Jan-12,05:47 AM,z,
25-Jan-12,05:53 AM,25-Jan-12,07:45 AM,z,
25-Jan-12,01:59 PM,25-Jan-12,02:11 PM,z,
25-Jan-12,02:51 PM,25-Jan-12,03:03 PM,z,
25-Jan-12,04:17 PM,25-Jan-12,04:31 PM,z,
25-Jan-12,07:11 PM,25-Jan-12,09:35 PM,z,
25-Jan-12,10:05 PM,25-Jan-12,10:17 PM,z,
25-Jan-12,10:59 PM,25-Jan-12,11:29 PM,z,
25-Jan-12,11:35 PM,26-Jan-12,12:09 AM,z,
26-Jan-12,12:17 AM,26-Jan-12,12:29 AM,z,
26-Jan-12,12:43 AM,26-Jan-12,01:09 AM,z,
26-Jan-12,02:21 AM,26-Jan-12,03:23 AM,z,
